kernel_name,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,target_value,out_value
atax-medium,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
3mm,1.0,1.0,4.0,2.0,1.0,2.0,16.0,1.0,1.0,1.0,50.0,1.0,50.0,100.0,100.0,40.0,50.0,2.0,1.0,1.0,1.0,0.00,0.00
jacobi-1d,5.0,16.0,4.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
2mm,1.0,8.0,2.0,1.0,32.0,1.0,50.0,50.0,50.0,100.0,1.0,1.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
atax,2.0,2.0,4.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-p-large,2.0,4.0,16.0,4.0,1.0,50.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
fdtd-2d-large,1.0,1.0,1.0,1.0,1.0,2.0,4.0,239.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
fdtd-2d,1.0,1.0,1.0,1.0,1.0,1.0,16.0,79.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
trmm-opt,1.0,16.0,10.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-ncubed,1.0,4.0,8.0,50.0,50.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt,1.0,15.0,1.0,32.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
syrk,1.0,2.0,4.0,32.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-ncubed,2.0,1.0,8.0,50.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gesummv-medium,2.0,250.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
jacobi-2d,10.0,2.0,2.0,8.0,8.0,1.0,50.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
adi,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
gemver,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
bicg,1.0,16.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
symm-opt,1.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,2.0,4.0,1.0,50.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
symm-opt-medium,1.0,2.0,10.0,8.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,7.0,1.0,50.0,50.0,100.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
bicg-medium,1.0,2.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
bicg-medium,8.0,1.0,32.0,50.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
spmv-ellpack,16.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
gemver-medium,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-blocked,2.0,1.0,50.0,50.0,50.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
jacobi-1d,1.0,32.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
covariance,1.0,1.0,8.0,1.0,1.0,20.0,100.0,100.0,1.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
bicg-medium,10.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,126.0,4.0,1.0,50.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,16.0,8.0,50.0,50.0,100.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-ncubed,1.0,1.0,32.0,1.0,50.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
syrk,1.0,80.0,1.0,32.0,1.0,1.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
doitgen,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
symm-opt,1.0,4.0,15.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-p-large,1.0,32.0,16.0,4.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
mvt-medium,1.0,1.0,8.0,400.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
covariance,1.0,4.0,20.0,32.0,8.0,1.0,50.0,1.0,100.0,1.0,80.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
heat-3d,1.0,50.0,1.0,1.0,100.0,1.0,1.0,18.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
3mm,8.0,1.0,1.0,2.0,2.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,50.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00
gemm-blocked,16.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
correlation,1.0,1.0,1.0,1.0,1.0,1.0,2.0,32.0,100.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00,0.00
adi,1.0,1.0,2.0,4.0,8.0,1.0,1.0,1.0,1.0,100.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
covariance,1.0,1.0,1.0,1.0,1.0,5.0,100.0,100.0,1.0,50.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
symm-opt,1.0,4.0,2.0,60.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-p,16.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
symm-opt,1.0,4.0,10.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
jacobi-1d,1.0,32.0,4.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
jacobi-1d,1.0,16.0,32.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
3mm,1.0,2.0,4.0,2.0,2.0,2.0,16.0,1.0,1.0,1.0,50.0,1.0,50.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00
fdtd-2d,5.0,16.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,1.0,100.0,100.0,1.0,59.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
bicg,1.0,32.0,1.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
adi,1.0,1.0,1.0,1.0,1.0,58.0,32.0,1.0,1.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt,4.0,1.0,8.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
jacobi-1d,1.0,16.0,32.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
atax,1.0,1.0,4.0,50.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
symm-opt,1.0,2.0,12.0,5.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gesummv,6.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
atax,29.0,16.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gesummv,2.0,6.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
atax,32.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
3mm,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,1.00
gesummv,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
doitgen-red,2.0,50.0,1.0,50.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
correlation,8.0,32.0,1.0,1.0,32.0,32.0,8.0,1.0,50.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,79.0,0.0,0.0,0.0,0.0,0.00,0.00
2mm,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.0,1.0,1.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,18.0,1.0,1.0,50.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
trmm-opt,1.0,5.0,6.0,1.0,50.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt-medium,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
stencil-3d,1.0,1.0,100.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
3mm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,1.00
heat-3d,16.0,1.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
2mm,40.0,2.0,2.0,1.0,32.0,1.0,1.0,50.0,50.0,100.0,1.0,1.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
jacobi-1d,20.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt-medium,16.0,16.0,16.0,32.0,1.0,50.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-p,1.0,32.0,20.0,32.0,1.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,1.0,62.0,1.0,50.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-p,5.0,4.0,1.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
fdtd-2d-large,1.0,1.0,1.0,5.0,199.0,8.0,32.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-p,1.0,4.0,10.0,1.0,1.0,100.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
atax-medium,5.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt-medium,10.0,8.0,16.0,32.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
gemm-p,30.0,32.0,10.0,1.0,1.0,100.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
stencil,14.0,1.0,50.0,50.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
3mm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00
gemver,1.0,1.0,1.0,1.0,1.0,6.0,24.0,1.0,1.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
covariance,1.0,1.0,1.0,1.0,8.0,4.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt,1.0,1.0,12.0,10.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
stencil,9.0,16.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
fdtd-2d,2.0,16.0,59.0,16.0,4.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.0,1.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt,1.0,3.0,1.0,12.0,100.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
bicg-medium,30.0,32.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
bicg,16.0,1.0,32.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,1.0,16.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
gemm-p-large,1.0,2.0,1.0,1.0,1.0,100.0,1.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
jacobi-1d,8.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gesummv-medium,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,1.0,8.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
2mm,1.0,40.0,2.0,8.0,32.0,1.0,1.0,1.0,50.0,100.0,40.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
3mm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,100.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00
gemm-p,1.0,1.0,1.0,8.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-ncubed,2.0,4.0,1.0,50.0,50.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt-medium,1.0,1.0,1.0,1.0,100.0,100.0,400.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt-medium,4.0,8.0,16.0,32.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,6.0,31.0,50.0,50.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
bicg,32.0,31.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
stencil,1.0,1.0,1.0,1.0,50.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
trmm-opt,20.0,1.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-blocked,64.0,1.0,1.0,1.0,100.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
atax,1.0,32.0,124.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
doitgen-red,2.0,1.0,1.0,50.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
jacobi-2d,16.0,1.0,1.0,8.0,8.0,1.0,1.0,50.0,1.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
trmm-opt,1.0,2.0,2.0,1.0,50.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
mvt-medium,4.0,8.0,16.0,32.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
covariance,1.0,1.0,32.0,32.0,8.0,1.0,50.0,1.0,100.0,1.0,80.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
correlation,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00,0.00
trmm-opt,3.0,32.0,1.0,50.0,100.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
correlation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,100.0,100.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00,0.00
trmm-opt,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
symm-opt,1.0,4.0,32.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00
gemm-p,1.0,32.0,1.0,32.0,1.0,1.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.00
3mm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,32.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00,0.00
